id,created_at,text
1233998022947696640,2020-03-01 06:10:29,b'Rafael Nadal cruises past Fritz to win Acapulco title\nhttps://t.co/stT2XK3QNK'
1233996388892938240,2020-03-01 06:04:00,"b'Cargo trains collide in MP\xe2\x80\x99s Singrauli, loco pilots trapped: Report\nhttps://t.co/kidsJn8xrr'"
1233995130467540992,2020-03-01 05:59:00,"b'Preity Zinta, husband Gene Goodenough celebrate leap year wedding anniversary: \xe2\x80\x98It feels like yesterday\xe2\x80\x99\nhttps://t.co/ltKgfcNMou'"
1233993872251834375,2020-03-01 05:54:00,b'5 feared drowned as boat capsizes in Ganga in UP\xe2\x80\x99s Chandauli\nhttps://t.co/dPRMIkF0bu'
1233992614975655936,2020-03-01 05:49:00,"b'Great guy, Modi: US President Trump tells a home crowd\nhttps://t.co/VXignDihma'"
1233992613876776960,2020-03-01 05:49:00,"b'1 dead, 7 missing after boat capsizes in Bihar\xe2\x80\x99s Gandak River\nhttps://t.co/ouZhPBgLPN'"
1233991355740778498,2020-03-01 05:44:00,b'Paris Fashion Week 2020: Vivienne Westwood mixes message of ecology with regal Paris fashion\nhttps://t.co/YGJWAPgUxC'
1233990097273421824,2020-03-01 05:39:00,b'Don\xe2\x80\x99t want others to join your WhatsApp group using group sharing link? Here\xe2\x80\x99s how to reset the URL\nhttps://t.co/7zXJzri3Jj'
1233988839007408133,2020-03-01 05:34:00,b'Huawei is working on its Search app to replace Google Search\nhttps://t.co/nB1LLrO8Q9'
1233987957570191361,2020-03-01 05:30:30,"b'Hrithik Roshan to enter Hollywood, signed by US agency Gersh\nhttps://t.co/UjoLLucJXp'"
1233987580602937344,2020-03-01 05:29:00,b'HRD Secretary Khare assures issues of DU\xe2\x80\x99s ad-hoc teachers would be addressed\nhttps://t.co/ZwvU35Q9vO'
1233986323460968449,2020-03-01 05:24:00,"b'Sick of Italy\xe2\x80\x99s virus shutdown, Milan itches to get back to work\nhttps://t.co/KF7DTS1QS1'"
1233986322332712960,2020-03-01 05:24:00,"b'Security increased, Section 144 imposed in Delhi\xe2\x80\x99s Shaheen Bagh\nhttps://t.co/Jorw9bc7BT'"
1233985065106853888,2020-03-01 05:19:00,b'Odisha BJD youth leader arrested over rape of 11-year-old girl\nhttps://t.co/vGLWnllhv1'
1233985063995314176,2020-03-01 05:19:00,"b'AP EAMCET 2020 online registration begins at https://t.co/WNOsObJazY, apply before March 29\nhttps://t.co/k2sS8y6ims'"
1233982547509444611,2020-03-01 05:09:00,b'Railway Police arrest Agra man after he tweets \xe2\x80\x985 bombs in Rajdhani train\xe2\x80\x99\nhttps://t.co/XGUVECufe9'
1233980031015116801,2020-03-01 04:59:00,b'Rashmi Thackeray is Sena mouthpiece Saamana\xe2\x80\x99s new editor\nhttps://t.co/dFi4qcYhix'
1233977884110245888,2020-03-01 04:50:28,b'Klopp believes defeat could prove a positive for Liverpool\nhttps://t.co/eBvULdrHnj'
1233977514311049217,2020-03-01 04:49:00,b'J-K: 5 government teachers suspended for absence from duty in Kishtwar\nhttps://t.co/4umNSvvvGE'
1233976257047457792,2020-03-01 04:44:00,"b'Dalit\xe2\x80\x99s custodial death case: Family refuses to accept body, delegation to meet Rajasthan CM on Sunday\nhttps://t.co/jTkQbkIzg7'"
1233976255990517760,2020-03-01 04:44:00,b'UP Board exam 2020: 359 students caught cheating\nhttps://t.co/BHkN71SBBM'
1233973739437477891,2020-03-01 04:34:00,b'Ethiopia\xe2\x80\x99s Legese wins coronavirus-impacted Tokyo Marathon\nhttps://t.co/k9qYXuElSn'
1233972481188216832,2020-03-01 04:29:00,"b'Horoscope Today: Astrological prediction for March 1, what\xe2\x80\x99s in store for Leo, Virgo, Scorpio, Sagittarius and othe\xe2\x80\xa6 https://t.co/94wEMPBbSQ'"
1233969964488355840,2020-03-01 04:19:00,"b'Thappad box office day 2: Taapsee Pannu film sees a big jump, earns Rs 7.85 cr\nhttps://t.co/CpGyuCHqil'"
1233969076008914944,2020-03-01 04:15:28,b'How to manage Google Chrome notifications\nhttps://t.co/YbLVeAUDZm'
1233964042823225350,2020-03-01 03:55:28,b'India vs New Zealand: Virat Kohli\xe2\x80\x99s fiery celebration after Jasprit Bumrah dismisses Kane Williamson sets tone for\xe2\x80\xa6 https://t.co/VfA0eJ7mZ8'
1233962415949111299,2020-03-01 03:49:00,"b'Steven Spielberg\xe2\x80\x99s daughter arrested for domestic violence, 2 weeks after she announces career as porn star\nhttps://t.co/wFCIe1NBoL'"
1233962414862819329,2020-03-01 03:49:00,"b'Uttarakhand Congress going AAP way, announces free electricity, water ahead of polls\nhttps://t.co/WTBFXDdx3A'"
1233961156546445312,2020-03-01 03:44:00,"b'13 missing off Japan after cargo ship, fishing boat collide\nhttps://t.co/BGBUI8OQ7E'"
1233960268092166150,2020-03-01 03:40:28,"b'Forgot your Wi-Fi password? Here\xe2\x80\x99s how to find it on Windows, Mac laptops\nhttps://t.co/SopnyIm6gT'"
1233959899454832642,2020-03-01 03:39:00,b'\xe2\x80\x98May never be excited again about a crowd\xe2\x80\x99: US President Trump on India visit\nhttps://t.co/32z2CRczyU'
1233959898263638016,2020-03-01 03:39:00,"b'News updates from Hindustan Times: British PM Boris Johnson announces engagement, expecting baby with fianc\xc3\xa9e and a\xe2\x80\xa6 https://t.co/Gakp6xGriI'"
1233955250094006274,2020-03-01 03:20:32,b'India vs New Zealand: Ravindra Jadeja\xe2\x80\x99s sensational catch gets rid of Neil Wagner - WATCH\nhttps://t.co/glw2QlaS25'
1233955248978329601,2020-03-01 03:20:31,"b'Tiger Shroff\xe2\x80\x99s sister Krishna kisses boyfriend Eban Hyams at an aquarium, calls him \xe2\x80\x98her favourite fish\xe2\x80\x99\nhttps://t.co/UpJY4Vj9VC'"
1233954865790902272,2020-03-01 03:19:00,b'Minor boy jumps to death as father gives tab he wanted to elder sibling\nhttps://t.co/DSaJ1yTFGJ'
1233953606719590400,2020-03-01 03:14:00,b'Running short on storage space? Here\xe2\x80\x99s how you delete media files in WhatsApp\nhttps://t.co/haooUn7D1l'
1233946056875900928,2020-03-01 02:44:00,b'Facebook brings its 3D photos feature to smartphones with single rear camera\nhttps://t.co/ASJBlAiela'
1233943540297650176,2020-03-01 02:34:00,b'Apple blocks Clearview AI\xe2\x80\x99s iPhone app\nhttps://t.co/xmAVIjkbPo'
1233922519276511233,2020-03-01 01:10:28,"b'Joe Biden wins South Carolina primary, ends Bernie Sanders\xe2\x80\x99 winning streak\nhttps://t.co/p6ivz9N9me'"
1233921260842713089,2020-03-01 01:05:28,"b'China reports 35 more virus deaths, 573 new cases\nhttps://t.co/uwy7H4tKNw'"
1233918744272916482,2020-03-01 00:55:28,b'Need transparency in tariff plans of  telecom service providers\nhttps://t.co/MALdRZOUQI'
1233909566615605248,2020-03-01 00:19:00,"b'Centre to push schemes for individuals in J&amp;K, Ladakh\nhttps://t.co/iMegGeGFy7'"
1233900758531051520,2020-02-29 23:44:00,b'Indian-origin men among 22 jailed for drug dealing in UK\nhttps://t.co/JBmAXk6er2'
1233899500265037824,2020-02-29 23:39:00,"b'PM Boris gets engaged to Carrie, expecting baby\nhttps://t.co/BTxaN09cXV'"
1233897353477648384,2020-02-29 23:30:28,b'Botanists harvest seeds from double coconut tree\nhttps://t.co/nhYOLTMVaf'
1233894836807204864,2020-02-29 23:20:28,b'Param Bir Singh takes charge as Mumbai top cop\nhttps://t.co/qjrNxiVxAL'
1233893578520199168,2020-02-29 23:15:28,"b'On the run for over 20 years, how a  special squad tracked down Pujari\nhttps://t.co/u8IJsywVNA'"
1233892320317018112,2020-02-29 23:10:28,b'The rise and fall of an unlikely don\nhttps://t.co/8r8pQGj9wL'
1233888175644274689,2020-02-29 22:54:00,"b'Centre to push schemes for individuals in J&amp;K, Ladakh\nhttps://t.co/uotNNUWdAN'"
1233878109281280000,2020-02-29 22:14:00,b'Trump says ready to help Iran with coronavirus if asked\nhttps://t.co/clrT8jxoiN'
1233863012081004545,2020-02-29 21:14:00,b'Locusts pose severe threat to agriculture in India\nhttps://t.co/AuCAWrfP8P'
1233863011015593984,2020-02-29 21:14:00,b'India vs New Zealand live score 2nd Test Day 2 at Christchurch IND\xe2\x80\x89vs NZ\xe2\x80\x89full scorecard\nhttps://t.co/1goONWGytX'
