id,created_at,text
,,
1.23399E+18,3/1/2020 5:40,"b""Rashmi Thackeray is new 'Saamana' group editor https://t.co/yU3qoeBFls"""
,,
1.23398E+18,3/1/2020 5:10,b'PM Modi greets Bihar CM Nitish Kumar on his birthday https://t.co/P9mwiVb29I'
,,
1.23397E+18,3/1/2020 4:10,b'Amit Shah to attend inauguration of 29 Special Composite Group complex of NSG in West Bengal today https://t.co/sezDpzn7ek'
,,
1.23394E+18,3/1/2020 2:15,"b""Sharon Stone shares 'samosa packet' pic showcased by CAA protesters https://t.co/uXX8umpCSz"""
,,
1.23392E+18,3/1/2020 1:00,b'New curbs for Urs pilgrims from Pakistan https://t.co/j5NyO7aQqn'
,,
1.23391E+18,3/1/2020 0:30,b'Lok Janshakti Party to release manifesto 6 months before Bihar polls https://t.co/UL6uYAWA5u'
,,
1.23391E+18,3/1/2020 0:30,b'Mantri\xe2\x80\x99s fresh salvo against \xe2\x80\x98anti-nationals\xe2\x80\x99 https://t.co/aKNB8xitSz'
,,
1.23391E+18,3/1/2020 0:15,b'Confident India can ensure return of peace: Indonesia https://t.co/QFOsBn3vYR'
,,
1.23391E+18,3/1/2020 0:15,b'Forces to stay longer in J&amp;K as Syed Ali Shah Geelani health sparks unrest fears https://t.co/UH80GAocJX'
,,
1.2339E+18,2/29/2020 23:55,b'Ayodhya readies for mandir construction https://t.co/ucayzWsDUf'
,,
1.2339E+18,2/29/2020 23:25,b'Farooq aides\xe2\x80\x99 assets attached over JKCA scam https://t.co/7l55fBuqCU'
,,
1.2339E+18,2/29/2020 23:25,b'CBSE cracks whip as schools violate board exam norms https://t.co/XoSbfRVLAH'
,,
1.23389E+18,2/29/2020 23:00,b'Kanitkars become first-ever 3-star couple in Indian forces https://t.co/ilWU71HMLE'
,,
1.23388E+18,2/29/2020 22:15,b'\xe2\x80\x98CAA derailed Congress plan to hit at govt on growth\xe2\x80\x99 https://t.co/FhWmjyToCo'
,,
1.23387E+18,2/29/2020 21:25,b'Must maintain civility in language too: RSS https://t.co/d2fdby2ocK'
,,
1.23385E+18,2/29/2020 20:40,"b'Violence in Delhi a blot on our face, says Ram Vilas Paswan https://t.co/IVPthN3n5w'"
,,
1.23385E+18,2/29/2020 20:40,b'Govt may use Assam delimitation to counter CAA stir https://t.co/1qxlVzFaBc'
,,
1.23385E+18,2/29/2020 20:30,b'Govt obligated to ensure justice for all sections: PM Modi https://t.co/2wm7wGfZtn'
,,
1.23385E+18,2/29/2020 20:30,b'Back deals that bring Afghan peace: India https://t.co/RPEBFTZvAn'
,,
1.23381E+18,2/29/2020 18:00,"b'Anti-CAA protests in UK, Europe call for justice for Delhi victims https://t.co/yzLBWPFDH4'"
,,
1.2338E+18,2/29/2020 17:10,b'May never be excited about a crowd again after going to India: Donald Trump https://t.co/mSmyXhKE8Z'
,,
1.2338E+18,2/29/2020 16:55,"b'No one listens to me, says MP Congress leader Ajay Singh https://t.co/vcEVcO40WM'"
,,
1.2338E+18,2/29/2020 16:45,"b""Some people oppose showing documents but seek proof of Lord Ram's birth: Prasad https://t.co/Q6OaQQEHxd"""
,,
1.23378E+18,2/29/2020 16:00,b'Prime Minister Narendra Modi likely to visit Bangladesh in March https://t.co/4E4mFicYs0'
,,
1.23378E+18,2/29/2020 15:25,"b'I-T searches on metal processing group yields Rs 1cr cash, unearthes Rs 400cr unaccounted income https://t.co/FIXenXIYUY'"
,,
1.23377E+18,2/29/2020 15:10,b'US-Taliban peace deal: Why India will keep a close watch on Afghanistan https://t.co/kVfqOBuwa5'
,,
1.23377E+18,2/29/2020 15:10,b'INCB raises concern at Indian firms supplying acetic anhydride to Afghan drug lords https://t.co/s9rC8Q2sFL'
,,
1.23377E+18,2/29/2020 14:55,b'India backs opportunities that can bring stability in Afghanistan: MEA on US-Taliban peace deal https://t.co/k7No76TpsZ'
,,
