id,created_at,text
1233892654188023808,2020-02-29 23:11:48,b'Clever Ways To Use Mason Jars https://t.co/LOiEgpD8uc'
1233860872369516549,2020-02-29 21:05:30,b'bread scoring is mesmerizing https://t.co/TLiP6Oqtjv'
1233817155961053184,2020-02-29 18:11:47,b'7 Dorm-Friendly Microwave Meals https://t.co/nDhffrY9LE'
1233770820599676928,2020-02-29 15:07:40,b'Painters Peeling Tape Is So Satisfying https://t.co/iccjhUZawB'
1233508886319173634,2020-02-28 21:46:50,b'This Van Conversion Is So Dreamy https://t.co/eaoUg6fyXu'
1233499192158490627,2020-02-28 21:08:19,b'Mesmerizing Cake Decorating To Soothe Your Soul https://t.co/lVWPwVUVKe'
1233478584687321089,2020-02-28 19:46:26,b'Starbucks Barista Shares The Best Unknown Drinks On The Menu https://t.co/wkWcWbW2Gi'
1233454470987730948,2020-02-28 18:10:37,b'6 DIY Projects For Phone Lovers https://t.co/AXF4Rou31I'
1233362139554992129,2020-02-28 12:03:43,"b'Honestly, these markers and drawings are so relaxing to watch https://t.co/sbz4PwZIHy'"
1233142660182966272,2020-02-27 21:31:35,b'This Is What It Feels Like To Fly https://t.co/QHUbjIcez9'
1233136305858646018,2020-02-27 21:06:20,"b""Snacks From The 90's You Can Make at Home https://t.co/3ULAe10sqo"""
1233136132734562311,2020-02-27 21:05:39,"b'what your name, eye color, and birth month say about you https://t.co/wDSJkHu1nq'"
1233090668635082755,2020-02-27 18:04:59,b'No-Sew Cozy Pillows https://t.co/QelcgF9Pub'
1233086024823255042,2020-02-27 17:46:32,b'Art Hacks That Have Me Fooled https://t.co/gNQOrPo9F6'
1233000440238878721,2020-02-27 12:06:27,b'31 Camping Hacks https://t.co/IgmqUwXfx7'
1232879681604550658,2020-02-27 04:06:36,b'GET ?ME?THESE?GLITTER?PENS?NOW? https://t.co/DAjDcnTB9R'
1232819024129646592,2020-02-27 00:05:34,b'Have You Seen These Embroidered Flower Circles Before? https://t.co/PFmHQFVfMa'
1232804127375339520,2020-02-26 23:06:23,b'This Street Artist Creates Optical Illusion Art On Cement Blocks https://t.co/Iq4c4yMPdW'
1232787916100861953,2020-02-26 22:01:57,b'What it means to be poor in America https://t.co/wohDUuorYI'
1232784580102574081,2020-02-26 21:48:42,b'Senior Citizens Guess The Price Of College Textbooks https://t.co/mdbp7U1SXR'
1232779332818554881,2020-02-26 21:27:51,b'People Share Their Job Interview Horror Stories https://t.co/E9gUGc7Mmc'
1232774372328398850,2020-02-26 21:08:08,b'5 Essential Hiking Hacks https://t.co/uP6IIRtOft'
1232768951077232646,2020-02-26 20:46:36,"b'These Eco-Domes Cost $1,000.00 To Build https://t.co/UYgVhdLpQt'"
1232751844599967745,2020-02-26 19:38:37,"b'These Eco-Domes Cost $1,000.00 To Build https://t.co/WNcT875zRK'"
1232738765514452997,2020-02-26 18:46:39,b'These Celebrity Look-a-likes Are Scary Convincing https://t.co/bVGFxLVjg4'
1232729604248436739,2020-02-26 18:10:15,b'5 Magical Fantasy Projects https://t.co/eoekUgVPMG'
1232682982172962817,2020-02-26 15:04:59,b'DIY Bath Bomb Ideas https://t.co/O8Y4l43z3i'
1232638541131386880,2020-02-26 12:08:24,b'Watching Cookie Decorating Is So Soothing https://t.co/RSiL3vjXKN'
1232410852634038274,2020-02-25 21:03:39,b'This Paint Art Is Mesmerizing https://t.co/teYFoGRYN7'
